A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730)
1661.07,924.66,2024.44,692.04,814.62,1370.08,317.1,314.35,1304.16,157.01,315.13,49.13,74.95,238.51,306.36,60.67,38.34,83.32
1997.62,769.22,1990.42,682.82,842.25,1688.27,371.92,374.61,1338.11,187.34,307.95,61.42,69.3,240.18,277.16,81.98,43.87,76.5
1450.29,1024.3,2453.19,799.24,953.33,1738.44,427.82,435.87,1205.82,224.37,291.53,62.69,68.5,211.82,274.82,89.02,47.47,75.74
2554.48,1549.4,2792.56,1006.21,1127.21,1572.23,488.55,499.64,1338.11,262.29,355.16,77.09,76.56,229.9,315.37,54.78,54.78,84.07
3120.03,1298.31,2946.81,948,1113.79,2049.14,501.99,514.2,1482.11,268.53,354.54,77.09,75.75,260.9,307.48,108.3,55.69,85.59
2209.26,1354.71,2718.91,941.53,1080.64,1832.02,476.18,489.1,1332,254.25,354.14,73.7,74.96,244.54,317.62,98.66,52.95,82.65
3814.81,1359.09,3649.93,916.59,1206.9,1870.95,495.94,505.16,1446.69,264.07,334.63,77.51,74.14,243.68,301.85,137.78,56.6,86.35
3089.67,1888.18,3235.42,1228.89,1443.74,1656.08,566.48,570.44,2017.12,306.89,527.61,94.88,109.6,306.54,495.58,138.35,72.12,121.94
2642.96,995.4,2971.69,712.39,993.81,1855.98,385.9,398.71,1298.31,211.88,284.34,66.92,66.89,224.74,299.6,134.28,50.21,79.53
2524.99,1060.17,2534.8,838.97,989.86,1930.85,425.13,431.85,1314.7,220.35,241.22,66.5,62.86,216.99,214,91.85,48.39,74.98
2069.61,1170.71,2638.2,891,1057.72,1945.07,397.11,404.73,1185.92,213.22,268.92,64.81,66.09,208.38,235.4,87.75,48.39,73.47
1753.01,1027.29,2526.83,839.9,1029.33,1960.79,436.42,444.91,1398.99,225.26,328.77,67.77,71.72,229.9,275.95,91.29,48.39,79.53
2276.92,1091.06,2434.28,665.26,1000.91,1200.13,389.12,395.7,999.78,206.97,248.41,58.45,58.02,167.05,221.88,84.48,42.91,74.23
2134.66,996.4,2380.54,636.62,948.02,1185.91,386.43,389.67,992.76,200.73,238.14,57.61,58.83,170.49,239.91,84.48,40.17,74.23
2013.23,697.48,1906.82,482.32,653.59,965.05,274.64,296.77,638.03,162.37,145.76,44.05,40.29,119.69,162.19,74.28,35.61,53.02
2327.23,1023.3,2464.14,642.16,983.54,1227.84,382.14,389.17,990.41,201.17,251.49,57.61,56.41,169.63,217.38,85.62,41.08,72.71
2382.38,1023.33,2376.98,638.18,950.34,1289.09,396.18,401.38,995.48,205.16,256.18,59.18,59.38,169.55,220.44,85.43,43,84.01
2132.06,971.49,2445.23,586.73,942.5,1238.32,357.95,373.1,904.95,208.31,307.95,63.11,95.09,468.42,889.79,352.11,119.6,99.22
2223.41,837.96,2394.46,578.41,922.71,1276.5,362.79,372.09,972.04,191.81,248.41,54.64,52.9,170.43,205.12,86.59,37.31,70.41
642.74,454.36,965.35,474,690.69,726.97,391.27,396.2,1259.68,187.79,202.22,68.19,52.38,141.21,168.95,53.87,36.52,63.62
1792.04,910.71,2143.68,648.63,1001.96,1226.34,391.27,398.71,1150.8,207.86,307.95,59.72,66.89,180.82,241.02,74.28,40.1,81.8
1704.44,952.56,2090.93,696.68,961.44,1379.92,411.7,418.79,1087.58,221.69,273.04,60.99,70.92,172.17,215.13,67.47,41.08,90.13
3104.51,1092.51,2002.6,637.01,762.26,1085.58,440.39,421.79,819.99,198.42,271.12,62.01,59.23,169.41,303.33,110.89,49.78,73.01
3298.49,750.31,2269.55,732,1032.86,1198.92,445.72,443.42,927.19,217.93,218.98,60.27,61.13,162.17,213.98,113.44,56.36,86.21
3494.42,1100.98,2069.09,677.9,849.58,1198.18,446.25,446.45,785.77,226.52,282.05,58.99,60.89,171.85,307.72,112.17,50.72,76.86
1866.64,948.57,2160.6,688.36,1035.65,1258.53,404,413.27,1188.26,217.23,289.47,60.99,66.89,178.24,225.26,73.71,41.08,82.56
1502.33,848.93,1965.94,616.29,939.34,1161.2,371.39,375.11,1108.66,198.05,318.21,54.22,67.69,180.82,238.78,71.44,38.34,81.8
1974.2,1077.11,2325.8,690.21,1051.43,1259.2,374.07,361.05,1046.01,181.99,299.73,60.15,63.66,164.46,223.01,74.28,40.17,78.77
1358.34,846.94,1952.6,667.11,949.6,1391.05,405.25,413.27,1109.83,216.31,276.12,59.3,70.11,172.21,209.49,65.21,40.17,89.38
1456.36,956.54,2342.72,706.84,1147.73,1445.7,362.79,383.64,979.88,210.54,242.25,52.1,69.3,158.44,208.37,73.14,40.17,87.86
2033.18,1066.15,2333.76,724.4,1140.63,1313.93,359.56,377.62,1175.39,200.73,243.28,55.49,64.47,167.05,204.99,80.51,39.26,81.8
1144.1,792.14,2085.96,644.01,1075.11,1359.6,391.81,401.72,1130.9,208.76,266.89,57.61,68.5,163.6,208.37,72.01,39.26,87.86
928.11,728.37,1985.44,622.76,1033.27,1209.12,414.92,430.35,1180.07,221.25,221.72,61.84,61.25,161.02,202.74,81.65,42,78.77
1837.12,967.24,2316.89,685.98,1079.67,1302.31,392.78,402.78,1128.98,213.87,287.89,59.18,66.98,170.78,213.87,78.98,41.2,87.98
1762.89,909.78,2087.76,679.89,1002.45,1256.98,371.89,390.87,918.78,213.87,260.89,55.78,66.76,162.78,210.92,76.87,40.89,80.18
1908.87,972.89,2257.87,673.24,1056.17,1243.98,391.2,399.09,1162.24,206.43,298.13,61.18,66.12,176.87,234.9,75.34,40.17,81.78
2342.84,1061.16,2281.02,786.31,897.5,1623.91,364.89,358.03,1425.92,190.09,342.85,62.26,74.95,263.48,322.19,91.29,47.47,84.27
2531.06,1201.66,2201.65,837.14,900.17,1387.31,400.21,401.98,1265.21,206.21,297.21,66.92,73.31,231.13,297.21,81.4,40.17,81.04
1908.87,972.89,2257.87,673.24,1056.17,1243.98,391.2,399.09,1162.24,206.43,298.13,61.18,66.12,176.87,234.9,75.34,40.17,81.78
2865.88,999.39,2195.43,749.35,889.61,1724.96,375.69,368.08,1359.19,182.88,326.42,64.38,70.92,244.54,278.2,82.22,43.82,78.01
2325,1045.23,2186.3,723.16,834.87,1379.23,327.98,330.13,1212.12,166.12,287.76,51.9,70.23,225.19,277.88,60.13,39.12,76.86
2393.67,1098.2,2256.98,826.22,987.12,1527.98,423.99,405.11,1418.17,72.99,84.88,345.23,77.89,247.45,298.33,87.2,43.21,210.13
1439.16,241.18,1387.99,216.99,393.12,1054.98,190.16,210.22,835.11,120.18,235.87,46.88,51.99,192.18,275.28,98.27,40.19,63.29
1214.87,900.18,2019.87,752.12,865.12,1124.13,442.13,425.19,1045.18,201.15,65.19,65.77,170.19,192.34,89.17,126.18,52.14,56.17
2992.18,1320.88,2750.15,953.18,1113.87,1899.17,491.18,500.18,1481.11,260.19,362.12,82.64,81.27,267.12,319.9,102.66,55.99,87.65
3167.98,1268.12,3276.15,937.12,1095.12,1947.13,492.13,508.13,1192.13,275.14,74.12,80.15,232.19,291.12,125.16,137.12,56.19,63.12
2256.54,1219.89,2756.12,912.13,1088.12,1918.67,475.34,488.23,1181.13,251.18,316.13,78.19,71.12,242.56,307.23,102.67,50.12,72.14
2319.42,1285.35,2302.91,872.24,940.13,1108.05,447.27,476.54,1313.53,246.67,339.77,75.39,78.98,210.1,321,93.56,51.13,87.86
3120.9,1267.98,3087.12,912.22,1068.12,1956.12,468.13,477.04,1432.11,245.78,350.89,72.22,74.99,254.11,300.88,103.77,52.19,88.12
3815.11,1414.12,3221.12,897.4,1002.87,1855.11,488.88,488.33,1376.23,74.67,87.23,72.1,314.23,119.12,50.23,34.14,23.11,260.12
1968.99,964.51,2725.88,667.11,905.4,1352.86,323.55,333.93,872.17,183.33,225.83,52.52,53.99,166.18,220.76,85.05,39.26,68.17
1700.1,948.57,2544.75,583.95,871.45,1216.61,375.69,380.63,838.22,186.45,240.2,53.79,55.61,159.3,233.15,84.48,39.26,69.68
1845.82,874,2733.84,647.71,890.4,1367.09,375.15,384.15,1030.22,194.93,256.62,55.06,55.61,179.96,225.26,85.05,38.34,68.93
1568.25,915.5,2567.64,646.78,924.34,1256.29,378.37,387.16,1018.51,197.16,242.25,55.49,57.22,170.49,232.02,82.78,39.26,71.2
1884.85,1056.18,2572.61,672.66,989.07,1241.31,356.34,373.6,844.08,196.27,219.67,52.52,56.41,161.02,235.4,82.22,40.17,71.2
2467.74,781.18,2394.47,579.33,903.82,1326.66,356.87,383.64,874.51,203.85,200.16,55.06,53.19,164.46,212.87,87.89,40.17,71.95
1236.04,677.55,2050.13,500.8,839.88,1121.52,338.06,352.01,956.46,185.11,246.36,52.52,56.41,166.18,232.02,82.78,37.43,72.71
1994.15,1100.02,2546.74,661.57,982.75,1212.11,357.95,344.48,832.37,168.61,224.8,54.64,58.02,153.27,226.39,81.08,39.26,73.47
1777.3,801.1,2736.82,629.23,914.87,1425.49,368.16,380.63,1012.66,194.48,250.46,54.64,53.99,175.66,199.36,87.32,38.34,68.93
2357.59,1087.07,2433.29,631.08,921.18,1133.5,353.65,346.48,979.88,176.64,237.12,56.76,57.22,171.35,239.91,84.48,39.26,74.23
1911.74,1030.28,2560.67,667.11,1001.7,1254.79,384.28,393.69,1011.49,202.06,250.46,57.18,58.02,166.18,221.88,82.78,41.08,74.23
2479.89,971.49,2779.62,607.05,885.66,1346.88,368.7,384.15,827.69,194.48,236.09,53.37,53.99,196,186,156,44,68.17
1354.87,670.58,2168.56,519.28,712,1111.79,343.98,365.06,770.32,183.78,186.82,48.29,43.52,151.55,192.6,85.62,38.34,55.29
2520.66,1016.33,2602.47,646.78,907.13,1285.73,343.51,358.03,952.95,187.24,204.27,54.22,51.58,159.3,176.83,82.78,38.34,67.41
2374.07,986.43,2467.12,626.46,880.93,1224.09,371.39,382.14,852.27,198.94,220.69,52.95,52.38,163.6,208.37,84.48,39.26,65.9
2844.2,1032.27,2878.14,686.52,897.5,1426.98,376.22,381.64,1010.32,197,252.52,56.76,54.8,178.24,209.49,86.18,39.26,67.14
1850.16,1084.08,2199.41,770.7,881.72,1184.41,422.98,429.34,1454.01,223.48,352.08,69.89,77.36,221.29,322.15,86.75,49.3,84.43
2774.8,1175.75,2984.63,826.96,967.76,1835.01,371.39,389.67,1137.92,209.65,240.2,60.57,59.62,199.77,193.73,94.69,47.47,72.71
3255.98,1311.98,2856.11,941.18,1095.98,2041.98,502.87,512.22,1480.23,271.98,361.11,81.76,81.23,262.12,316.98,110.19,56.87,90.12
2155.11,1131.18,2788.22,891.11,1070.11,2024.11,425.11,430.19,1477.1,225.11,351.99,77.9,80.11,256.17,272.12,101.18,51.99,85.12
2021.87,1051.11,2451.11,771.98,881.12,1791.09,431.87,443.98,1333.98,241.98,334.87,76.99,76.12,241.28,313.99,99.12,51.19,81.11
2439.99,1143.87,3416.55,886.1,1184.08,1867.21,431.06,445.91,1411.87,230.17,340.79,69.06,72.53,241.1,291.72,117.37,52.02,89.38
2756.11,1220.11,3019.22,910.44,1089.11,2087.12,483.87,500.12,1446.12,252.13,351.98,77.18,77.99,255.11,318.23,112.87,55.76,90.19
2435.65,1207.62,2501.95,850.98,933.02,1773.63,427.28,439.38,1381.43,229.27,303.82,69.89,70.92,232.49,290.57,94.12,51.13,79.53
1968.12,1276.39,3535.98,968.33,1170.62,2237.06,491.78,509.68,1468.06,267.19,354.14,76.24,75.75,246.26,291.72,117.37,54.78,85.59
2030.44,1230.15,3541.96,954.45,1180.45,2240.96,500.19,510.31,1470.66,270.98,360.95,80.19,75.75,250.98,310.35,101.96,52.21,90
2197.12,1115.97,2794.55,868.54,1049.85,2049.85,455.23,464.99,1468.06,240.43,357.33,71.16,75.75,243.68,298.47,99.79,50.21,84.07
2007.16,1073.12,2603.47,849.14,1036,2020.69,454.69,464.49,1473.91,239.98,359.27,71.16,76.56,242.82,301.85,95.82,49.3,84.83
2240.49,997.4,3145.85,823.26,1107.47,1893.41,449.32,461.48,1448.16,237.3,356.19,69.89,74.14,249.71,307.48,112.27,50.21,88.62
2296.87,1287.35,2705.97,905.5,1066.43,1968.28,412.77,400.72,1324.06,205.19,354.14,65.65,75.75,233.35,308.61,91.85,46.56,81.8
2614.33,1182.73,3324.99,901.8,1126.42,1998.98,466.52,473.03,1469.23,242.21,362.35,72.01,75.75,254.87,314.24,108.86,50.21,87.86
2193.65,1044.23,2999.56,732.7,927.5,1912.13,464.9,466.5,1382.6,232.84,355.16,70.74,73.33,254.87,318.75,108.3,50.21,82.56
2296.87,1287.35,2705.97,905.5,1066.43,1968.28,412.77,400.72,1324.06,205.19,354.14,65.65,75.75,233.35,308.61,91.85,46.56,81.8
2422.64,933.63,2792.56,777.99,984.33,1879.94,427.28,431.85,1349.82,218.12,292.55,64.81,67.69,236.79,272.57,103.19,46.56,78.01
1990.68,735.34,1882.93,428.73,716.74,944.83,244.01,244.55,579.5,124.9,142.68,34.73,37.88,114.52,125.02,60.1,27.39,50.75
2389.68,790.14,2241.21,510.96,782.26,1128.26,278.41,289.24,695.91,147.2,152.95,42.78,39.49,130.88,126.15,74.28,32.87,55.29
3255.98,1311.98,2856.11,941.18,1095.98,2041.98,502.87,512.22,1480.23,271.98,361.11,81.76,81.23,262.12,316.98,110.19,56.87,90.12
2319.42,802.1,2174.53,477.7,750.68,1047.4,298.83,301.79,674.32,154.34,150.89,44.9,39.49,126.58,125.02,75.98,33.78,53.78
2358.32,992.41,2372.58,567.32,917.24,1190.4,320.86,317.86,821.83,160.14,172.45,49.13,45.93,145.52,165.57,76.55,34.69,64.38
1117.21,601.82,2190.45,448.13,766.47,1086.33,280.55,268.65,655.59,128.91,141.65,40.24,37.88,122.27,126.15,67.47,27.39,52.26
1879.65,875.83,1968.52,546.07,850.93,1002.48,361.17,361.55,933.05,181.1,199.14,53.79,52.38,152.41,201.61,73.14,37.43,68.93
2280.39,837.97,2191.45,524.82,786.2,1072.11,325.16,325.39,854.61,161.92,189.9,48.29,49.96,156.71,190.35,77.11,34.69,66.65
2995.12,1128.91,2379.54,567.32,999.24,1189.77,320.86,317.36,820.66,159.69,163.21,49.13,45.93,142.94,165.57,76.55,34.69,64.38
2315.08,810.07,2050.13,507.26,772.78,1057.88,306.35,298.28,742.23,150.77,165.26,46.59,45.13,142.94,161.06,74.84,33.78,62.11
3285.7,1233.54,3233.43,872.24,1113.79,1743.68,485.33,491.61,1449.33,254.7,353.11,76.67,74.95,243.68,324.38,119.64,55.69,89.38